Team,3PA,SRS,season,Pace
Anderson Packers*,,2.42,1950,
Baltimore Bullets,,-4.55,1950,
Boston Celtics,,-1.73,1950,
Central Division,,Central Division,1950,
Chicago Stags*,,2.06,1950,
Denver Nuggets,,-11.31,1950,
Eastern Division,,Eastern Division,1950,
Fort Wayne Pistons*,,1.84,1950,
Indianapolis Olympians*,,2.59,1950,
Minneapolis Lakers*,,8.25,1950,
New York Knicks*,,2.53,1950,
Philadelphia Warriors*,,-2.27,1950,
Rochester Royals*,,7.72,1950,
Sheboygan Red Skins*,,-5.85,1950,
St. Louis Bombers,,-2.01,1950,
Syracuse Nationals*,,6.48,1950,
Tri-Cities Blackhawks*,,-1.43,1950,
Washington Capitols*,,-0.28,1950,
Waterloo Hawks,,-5.96,1950,
Western Division,,Western Division,1950,
Baltimore Bullets,,-1.94,1951,
Boston Celtics*,,-0.41,1951,
Eastern Division,,Eastern Division,1951,
Fort Wayne Pistons*,,-1.81,1951,
Indianapolis Olympians*,,-2.00,1951,
Minneapolis Lakers*,,4.79,1951,
New York Knicks*,,0.49,1951,
Philadelphia Warriors*,,3.40,1951,
Rochester Royals*,,2.54,1951,
Syracuse Nationals*,,0.62,1951,
Tri-Cities Blackhawks,,-3.22,1951,
Washington Capitols,,-4.63,1951,
Western Division,,Western Division,1951,
Baltimore Bullets,,-6.60,1952,
Boston Celtics*,,3.60,1952,
Eastern Division,,Eastern Division,1952,
Fort Wayne Pistons*,,-1.83,1952,
Indianapolis Olympians*,,0.08,1952,
Milwaukee Hawks,,-7.04,1952,
Minneapolis Lakers*,,5.28,1952,
New York Knicks*,,0.67,1952,
Philadelphia Warriors*,,-1.08,1952,
Rochester Royals*,,2.92,1952,
Syracuse Nationals*,,3.94,1952,
Western Division,,Western Division,1952,
Baltimore Bullets*,,-5.80,1953,
Boston Celtics*,,1.94,1953,
Eastern Division,,Eastern Division,1953,
Fort Wayne Pistons*,,0.17,1953,
Indianapolis Olympians*,,-2.30,1953,
Milwaukee Hawks,,-2.49,1953,
Minneapolis Lakers*,,5.54,1953,
New York Knicks*,,4.39,1953,
Philadelphia Warriors,,-7.75,1953,
Rochester Royals*,,2.62,1953,
Syracuse Nationals*,,3.62,1953,
Western Division,,Western Division,1953,
Baltimore Bullets,,-5.98,1954,
Boston Celtics*,,1.97,1954,
Eastern Division,,Eastern Division,1954,
Fort Wayne Pistons*,,1.45,1954,
Milwaukee Hawks,,-4.55,1954,
Minneapolis Lakers*,,2.71,1954,
New York Knicks*,,-0.16,1954,
Philadelphia Warriors,,-1.89,1954,
Rochester Royals*,,2.24,1954,
Syracuse Nationals*,,4.27,1954,
Western Division,,Western Division,1954,
Baltimore Bullets,,,1955,
Baltimore Bullets (1),,,1955,
Boston Celtics*,,-0.03,1955,
Eastern Division,,Eastern Division,1955,
Fort Wayne Pistons*,,2.01,1955,
Milwaukee Hawks,,-2.66,1955,
Minneapolis Lakers*,,0.96,1955,
New York Knicks*,,0.11,1955,
Philadelphia Warriors,,-0.19,1955,
Rochester Royals*,,-1.43,1955,
Syracuse Nationals*,,1.23,1955,
Western Division,,Western Division,1955,
Boston Celtics*,,0.72,1956,
Eastern Division,,Eastern Division,1956,
Fort Wayne Pistons*,,0.45,1956,
Minneapolis Lakers*,,-0.92,1956,
New York Knicks*,,-0.20,1956,
Philadelphia Warriors*,,3.82,1956,
Rochester Royals,,-2.61,1956,
St. Louis Hawks*,,-1.42,1956,
Syracuse Nationals*,,0.17,1956,
Western Division,,Western Division,1956,
Boston Celtics*,,4.78,1957,
Eastern Division,,Eastern Division,1957,
Fort Wayne Pistons*,,-2.18,1957,
Minneapolis Lakers*,,-0.89,1957,
New York Knicks,,0.07,1957,
Philadelphia Warriors*,,1.54,1957,
Rochester Royals,,-2.08,1957,
St. Louis Hawks*,,-0.27,1957,
Syracuse Nationals*,,-1.03,1957,
Western Division,,Western Division,1957,
Boston Celtics*,,5.02,1958,
Cincinnati Royals*,,-1.47,1958,
Detroit Pistons*,,-2.32,1958,
Eastern Division,,Eastern Division,1958,
Minneapolis Lakers,,-5.78,1958,
New York Knicks,,1.35,1958,
Philadelphia Warriors*,,0.21,1958,
St. Louis Hawks*,,0.82,1958,
Syracuse Nationals*,,2.18,1958,
Western Division,,Western Division,1958,
Boston Celtics*,,5.84,1959,
Cincinnati Royals,,-7.89,1959,
Detroit Pistons*,,-1.36,1959,
Eastern Division,,Eastern Division,1959,
Minneapolis Lakers*,,-1.42,1959,
New York Knicks*,,0.49,1959,
Philadelphia Warriors,,-2.29,1959,
St. Louis Hawks*,,2.89,1959,
Syracuse Nationals*,,3.74,1959,
Western Division,,Western Division,1959,
Boston Celtics*,,7.62,1960,
Cincinnati Royals,,-5.92,1960,
Detroit Pistons*,,-3.45,1960,
Eastern Division,,Eastern Division,1960,
Minneapolis Lakers*,,-4.14,1960,
New York Knicks,,-1.43,1960,
Philadelphia Warriors*,,2.77,1960,
St. Louis Hawks*,,1.77,1960,
Syracuse Nationals*,,2.77,1960,
Western Division,,Western Division,1960,
Boston Celtics*,,4.94,1961,
Cincinnati Royals,,-3.04,1961,
Detroit Pistons*,,-2.11,1961,
Eastern Division,,Eastern Division,1961,
Los Angeles Lakers*,,-0.11,1961,
New York Knicks,,-5.43,1961,
Philadelphia Warriors*,,0.89,1961,
St. Louis Hawks*,,2.99,1961,
Syracuse Nationals*,,1.93,1961,
Western Division,,Western Division,1961,
Boston Celtics*,,8.25,1962,
Chicago Packers,,-7.54,1962,
Cincinnati Royals*,,1.28,1962,
Detroit Pistons*,,-1.72,1962,
Eastern Division,,Eastern Division,1962,
Los Angeles Lakers*,,1.80,1962,
New York Knicks,,-3.98,1962,
Philadelphia Warriors*,,2.63,1962,
St. Louis Hawks,,-2.96,1962,
Syracuse Nationals*,,2.24,1962,
Western Division,,Western Division,1962,
Boston Celtics*,,6.38,1963,
Chicago Zephyrs,,-3.63,1963,
Cincinnati Royals*,,1.24,1963,
Detroit Pistons*,,-3.38,1963,
Eastern Division,,Eastern Division,1963,
Los Angeles Lakers*,,2.67,1963,
New York Knicks,,-6.20,1963,
San Francisco Warriors,,-1.86,1963,
St. Louis Hawks*,,1.38,1963,
Syracuse Nationals*,,3.40,1963,
Western Division,,Western Division,1963,
Baltimore Bullets,,-1.59,1964,
Boston Celtics*,,6.93,1964,
Cincinnati Royals*,,4.43,1964,
Detroit Pistons,,-6.77,1964,
Eastern Division,,Eastern Division,1964,
Los Angeles Lakers*,,0.87,1964,
New York Knicks,,-5.91,1964,
Philadelphia 76ers*,,-3.75,1964,
San Francisco Warriors*,,4.41,1964,
St. Louis Hawks*,,1.39,1964,
Western Division,,Western Division,1964,
Baltimore Bullets*,,-1.97,1965,
Boston Celtics*,,7.46,1965,
Cincinnati Royals*,,2.04,1965,
Detroit Pistons,,-3.03,1965,
Eastern Division,,Eastern Division,1965,
Los Angeles Lakers*,,1.70,1965,
New York Knicks,,-3.26,1965,
Philadelphia 76ers*,,-0.13,1965,
San Francisco Warriors,,-5.49,1965,
St. Louis Hawks*,,2.68,1965,
Western Division,,Western Division,1965,
Baltimore Bullets*,,-1.06,1966,
Boston Celtics*,,4.34,1966,
Cincinnati Royals*,,1.03,1966,
Detroit Pistons,,-6.07,1966,
Eastern Division,,Eastern Division,1966,
Los Angeles Lakers*,,2.76,1966,
New York Knicks,,-2.31,1966,
Philadelphia 76ers*,,4.16,1966,
San Francisco Warriors,,-2.36,1966,
St. Louis Hawks*,,-0.50,1966,
Western Division,,Western Division,1966,
Baltimore Bullets,,-5.87,1967,
Boston Celtics*,,7.24,1967,
Chicago Bulls*,,-3.37,1967,
Cincinnati Royals*,,-0.23,1967,
Detroit Pistons,,-4.98,1967,
Eastern Division,,Eastern Division,1967,
Los Angeles Lakers*,,0.31,1967,
New York Knicks*,,-2.74,1967,
Philadelphia 76ers*,,8.50,1967,
San Francisco Warriors*,,2.58,1967,
St. Louis Hawks*,,-1.44,1967,
Western Division,,Western Division,1967,
Baltimore Bullets,,-0.23,1968,
Boston Celtics*,,3.87,1968,
Chicago Bulls*,,-3.76,1968,
Cincinnati Royals,,-0.64,1968,
Detroit Pistons*,,-1.70,1968,
Eastern Division,,Eastern Division,1968,
Los Angeles Lakers*,,4.99,1968,
New York Knicks*,,1.78,1968,
Philadelphia 76ers*,,7.96,1968,
San Diego Rockets,,-7.94,1968,
San Francisco Warriors*,,-0.66,1968,
Seattle SuperSonics,,-6.00,1968,
St. Louis Hawks*,,2.37,1968,
Western Division,,Western Division,1968,
Atlanta Hawks*,,2.06,1969,
Baltimore Bullets*,,4.05,1969,
Boston Celtics*,,5.35,1969,
Chicago Bulls,,-2.11,1969,
Cincinnati Royals,,-0.83,1969,
Detroit Pistons,,-2.79,1969,
Eastern Division,,Eastern Division,1969,
Los Angeles Lakers*,,3.84,1969,
Milwaukee Bucks,,-5.07,1969,
New York Knicks*,,5.48,1969,
Philadelphia 76ers*,,4.79,1969,
Phoenix Suns,,-8.26,1969,
San Diego Rockets*,,-0.30,1969,
San Francisco Warriors*,,-1.53,1969,
Seattle SuperSonics,,-4.68,1969,
Western Division,,Western Division,1969,
Atlanta Hawks*,,0.31,1970,
Baltimore Bullets*,,1.94,1970,
Boston Celtics,,-1.60,1970,
Chicago Bulls*,,-1.71,1970,
Cincinnati Royals,,-2.55,1970,
Detroit Pistons,,-2.94,1970,
Eastern Division,,Eastern Division,1970,
Los Angeles Lakers*,,1.76,1970,
Milwaukee Bucks*,,4.25,1970,
New York Knicks*,,8.42,1970,
Philadelphia 76ers*,,3.32,1970,
Phoenix Suns*,,-1.66,1970,
San Diego Rockets,,-2.95,1970,
San Francisco Warriors,,-4.15,1970,
Seattle SuperSonics,,-2.43,1970,
Western Division,,Western Division,1970,
Atlanta Hawks*,,-1.3,1971,117.2
Baltimore Bullets*,,0.91,1971,116.5
Boston Celtics,,2.3,1971,120.2
Buffalo Braves,,-8.02,1971,111.9
Chicago Bulls*,,5.47,1971,109.7
Cincinnati Royals,,-2.96,1971,118.5
Cleveland Cavaliers,,-12.04,1971,110.6
Detroit Pistons,,-0.33,1971,111.3
Los Angeles Lakers*,,3.27,1971,115.7
Milwaukee Bucks*,,11.92,1971,113.4
New York Knicks*,,5.05,1971,112.2
Philadelphia 76ers*,,1.81,1971,115.7
Phoenix Suns,,2.33,1971,115.3
Portland Trail Blazers,,-6.2,1971,120.6
San Diego Rockets,,0.21,1971,118.5
San Francisco Warriors*,,-0.83,1971,113.5
Seattle SuperSonics,,-1.53,1971,116.5
Atlanta Hawks*,,-1.94,1972,110.7
Baltimore Bullets*,,-1.26,1972,110.5
Boston Celtics*,,4.38,1972,116.1
Buffalo Braves,,-9.44,1972,108.3
Chicago Bulls*,,7.91,1972,108.6
Cincinnati Royals,,-4.13,1972,109.5
Cleveland Cavaliers,,-7.9,1972,111.5
Detroit Pistons,,-6.11,1972,112.8
Golden State Warriors*,,0.92,1972,113.0
Houston Rockets,,-1.22,1972,114.7
Los Angeles Lakers*,,11.65,1972,116.9
Milwaukee Bucks*,,10.7,1972,111.2
New York Knicks*,,2.28,1972,108.0
Philadelphia 76ers,,-3.44,1972,115.8
Phoenix Suns,,5.57,1972,113.7
Portland Trail Blazers,,-8.84,1972,112.3
Seattle SuperSonics,,0.86,1972,110.5
Atlanta Hawks*,,-0.15,1973,113.8
Baltimore Bullets*,,2.85,1973,108.7
Boston Celtics*,,7.35,1973,114.5
Buffalo Braves,,-8.85,1973,110.9
Chicago Bulls*,,3.43,1973,104.5
Cleveland Cavaliers,,-2.64,1973,108.3
Detroit Pistons,,0.54,1973,111.5
Golden State Warriors*,,3.12,1973,112.2
Houston Rockets,,-1.81,1973,115.2
Kansas City-Omaha Kings,,-2.36,1973,107.3
Los Angeles Lakers*,,8.16,1973,112.0
Milwaukee Bucks*,,7.84,1973,108.3
New York Knicks*,,6.07,1973,105.9
Philadelphia 76ers,,-11.5,1973,115.2
Phoenix Suns,,-0.96,1973,113.0
Portland Trail Blazers,,-5.67,1973,110.4
Seattle SuperSonics,,-5.33,1973,110.0
Atlanta Hawks,,-1.47,1974,110.8
Boston Celtics*,,3.42,1974,110.0
Buffalo Braves*,,-0.19,1974,111.6
Capital Bullets*,,1.19,1974,106.3
Chicago Bulls*,,3.2,1974,105.0
Cleveland Cavaliers,,-4.16,1974,104.1
Detroit Pistons*,,4.02,1974,106.5
Golden State Warriors,,2.42,1974,108.9
Houston Rockets,,-0.34,1974,106.1
Kansas City-Omaha Kings,,-3.24,1974,106.1
Los Angeles Lakers*,,0.85,1974,111.7
Milwaukee Bucks*,,7.61,1974,105.4
New York Knicks*,,2.42,1974,103.5
Philadelphia 76ers,,-5.94,1974,108.3
Phoenix Suns,,-3.2,1974,109.6
Portland Trail Blazers,,-4.3,1974,108.5
Seattle SuperSonics,,-2.29,1974,110.2
Atlanta Hawks,,-1.32,1975,106.3
Boston Celtics*,,5.4,1975,106.1
Buffalo Braves*,,2.16,1975,107.7
Chicago Bulls*,,2.88,1975,99.7
Cleveland Cavaliers,,-0.31,1975,100.4
Detroit Pistons*,,-1.19,1975,100.5
Golden State Warriors*,,2.86,1975,107.6
Houston Rockets*,,0.84,1975,102.9
Kansas City-Omaha Kings*,,-0.16,1975,104.4
Los Angeles Lakers,,-3.94,1975,106.4
Milwaukee Bucks,,0.25,1975,102.1
New Orleans Jazz,,-7.3,1975,109.4
New York Knicks*,,-0.92,1975,103.1
Philadelphia 76ers,,-2.6,1975,103.4
Phoenix Suns,,-2.36,1975,104.3
Portland Trail Blazers,,0.27,1975,104.7
Seattle SuperSonics*,,-1.19,1975,105.5
Washington Bullets*,,6.53,1975,106.1
Atlanta Hawks,,-2.66,1976,103.6
Boston Celtics*,,2.25,1976,106.9
Buffalo Braves*,,0.85,1976,108.2
Chicago Bulls,,-2.89,1976,100.3
Cleveland Cavaliers*,,2.34,1976,101.6
Detroit Pistons*,,-1.18,1976,105.2
Golden State Warriors*,,6.23,1976,108.3
Houston Rockets,,-0.71,1976,104.7
Kansas City Kings,,-2.83,1976,105.7
Los Angeles Lakers,,0.18,1976,108.0
Milwaukee Bucks*,,-1.55,1976,103.9
New Orleans Jazz,,-0.74,1976,106.7
New York Knicks,,-1.05,1976,104.1
Philadelphia 76ers*,,0.33,1976,107.5
Phoenix Suns*,,0.59,1976,105.6
Portland Trail Blazers,,-1.11,1976,107.7
Seattle SuperSonics*,,-0.15,1976,107.7
Washington Bullets*,,2.2,1976,104.3
Atlanta Hawks,,-3.87,1977,104.6
Boston Celtics*,,-1.9,1977,107.5
Buffalo Braves,,-4.28,1977,107.3
Chicago Bulls*,,0.92,1977,100.0
Cleveland Cavaliers*,,1.08,1977,101.5
Denver Nuggets*,,4.95,1977,111.2
Detroit Pistons*,,-1.0,1977,108.8
Golden State Warriors*,,3.1,1977,107.8
Houston Rockets*,,1.44,1977,101.3
Indiana Pacers,,-1.68,1977,107.1
Kansas City Kings,,0.93,1977,106.4
Los Angeles Lakers*,,2.64,1977,104.7
Milwaukee Bucks,,-2.99,1977,108.3
New Orleans Jazz,,-2.68,1977,107.2
New York Knicks,,0.01,1977,108.1
New York Nets,,-6.54,1977,103.7
Philadelphia 76ers*,,3.78,1977,108.3
Phoenix Suns,,0.64,1977,106.6
Portland Trail Blazers*,,5.39,1977,108.0
San Antonio Spurs*,,0.53,1977,111.8
Seattle SuperSonics,,-1.43,1977,106.8
Washington Bullets*,,0.9,1977,105.9
Atlanta Hawks*,,-0.13,1978,103.3
Boston Celtics,,-1.86,1978,105.9
Buffalo Braves,,-3.55,1978,104.3
Chicago Bulls,,-0.79,1978,101.5
Cleveland Cavaliers*,,0.44,1978,103.5
Denver Nuggets*,,0.8,1978,108.5
Detroit Pistons,,-1.22,1978,107.7
Golden State Warriors,,0.41,1978,106.0
Houston Rockets,,-3.83,1978,101.3
Indiana Pacers,,-2.37,1978,108.2
Kansas City Kings,,-1.76,1978,108.2
Los Angeles Lakers*,,2.59,1978,106.1
Milwaukee Bucks*,,-0.59,1978,108.7
New Jersey Nets,,-5.61,1978,110.9
New Orleans Jazz,,-1.8,1978,108.3
New York Knicks*,,-0.53,1978,109.7
Philadelphia 76ers*,,4.87,1978,108.4
Phoenix Suns*,,3.5,1978,111.4
Portland Trail Blazers*,,5.92,1978,104.2
San Antonio Spurs*,,3.2,1978,109.0
Seattle SuperSonics*,,1.48,1978,104.8
Washington Bullets*,,0.82,1978,108.1
Atlanta Hawks*,,1.92,1979,102.5
Boston Celtics,,-4.78,1979,106.5
Chicago Bulls,,-3.78,1979,102.9
Cleveland Cavaliers,,-3.57,1979,102.7
Denver Nuggets*,,1.24,1979,105.9
Detroit Pistons,,-2.6,1979,107.2
Golden State Warriors,,0.46,1979,102.2
Houston Rockets*,,0.92,1979,103.8
Indiana Pacers,,-1.41,1979,105.3
Kansas City Kings*,,2.73,1979,107.3
Los Angeles Lakers*,,2.95,1979,105.9
Milwaukee Bucks,,2.12,1979,106.5
New Jersey Nets*,,-4.0,1979,109.5
New Orleans Jazz,,-5.97,1979,108.6
New York Knicks,,-3.29,1979,104.9
Philadelphia 76ers*,,1.74,1979,106.7
Phoenix Suns*,,3.55,1979,108.5
Portland Trail Blazers*,,1.12,1979,103.4
San Antonio Spurs*,,4.97,1979,110.6
San Diego Clippers,,-1.76,1979,106.3
Seattle SuperSonics*,,2.69,1979,103.4
Washington Bullets*,,4.75,1979,106.5
Atlanta Hawks*,0.9,2.83,1980,98.9
Boston Celtics*,5.1,7.37,1980,102.6
Chicago Bulls,3.4,-2.63,1980,101.8
Cleveland Cavaliers,2.3,0.43,1980,105.6
Denver Nuggets,3.1,-4.22,1980,103.9
Detroit Pistons,2.7,-7.57,1980,107.1
Golden State Warriors,1.5,-4.2,1980,100.5
Houston Rockets*,4.6,0.27,1980,101.2
Indiana Pacers,3.8,-0.54,1980,104.4
Kansas City Kings*,1.4,2.82,1980,103.2
Los Angeles Lakers*,1.2,5.4,1980,104.1
Milwaukee Bucks*,1.9,3.57,1980,102.4
New Jersey Nets,3.6,-0.98,1980,106.1
New York Knicks,2.3,-0.96,1980,106.5
Philadelphia 76ers*,1.5,4.04,1980,103.0
Phoenix Suns*,3.4,3.25,1980,104.8
Portland Trail Blazers*,1.6,-0.87,1980,98.6
San Antonio Spurs*,2.5,-0.24,1980,109.5
San Diego Clippers,6.6,-3.97,1980,101.4
Seattle SuperSonics*,2.3,4.24,1980,101.8
Utah Jazz,2.3,-5.71,1980,97.6
Washington Bullets*,2.9,-2.27,1980,102.6
Atlanta Hawks,1.0,-2.37,1981,99.4
Boston Celtics*,2.9,6.05,1981,100.8
Chicago Bulls*,2.2,2.34,1981,100.6
Cleveland Cavaliers,3.0,-4.15,1981,100.8
Dallas Mavericks,2.0,-8.33,1981,98.6
Denver Nuggets,1.8,-0.95,1981,109.8
Detroit Pistons,1.0,-5.58,1981,101.2
Golden State Warriors,2.6,-1.41,1981,101.0
Houston Rockets*,1.4,-0.2,1981,100.5
Indiana Pacers*,2.1,1.72,1981,100.9
Kansas City Kings*,2.0,-0.49,1981,101.3
Los Angeles Lakers*,1.1,3.27,1981,102.7
Milwaukee Bucks*,1.6,7.14,1981,103.6
New Jersey Nets,1.7,-5.15,1981,105.2
New York Knicks*,2.9,2.0,1981,101.0
Philadelphia 76ers*,1.0,7.76,1981,103.4
Phoenix Suns*,2.0,4.83,1981,104.7
Portland Trail Blazers*,1.8,0.52,1981,103.0
San Antonio Spurs*,1.0,2.18,1981,102.9
San Diego Clippers,5.0,-1.78,1981,100.2
Seattle SuperSonics,1.4,-1.84,1981,100.3
Utah Jazz,2.0,-5.99,1981,97.7
Washington Bullets,2.9,0.42,1981,102.4
Atlanta Hawks*,1.6,0.81,1982,95.1
Boston Celtics*,2.2,6.35,1982,101.5
Chicago Bulls,2.6,-1.57,1982,99.0
Cleveland Cavaliers,1.7,-7.77,1982,99.3
Dallas Mavericks,2.3,-4.48,1982,98.5
Denver Nuggets*,1.8,0.13,1982,109.8
Detroit Pistons,2.6,-0.63,1982,104.3
Golden State Warriors,4.0,0.8,1982,101.4
Houston Rockets*,2.1,-0.39,1982,97.2
Indiana Pacers,3.9,-1.49,1982,98.7
Kansas City Kings,1.6,-3.25,1982,101.8
Los Angeles Lakers*,1.1,4.37,1982,103.1
Milwaukee Bucks*,2.0,5.38,1982,100.0
New Jersey Nets*,1.8,0.87,1982,103.1
New York Knicks,2.6,-2.15,1982,99.5
Philadelphia 76ers*,1.7,5.74,1982,100.6
Phoenix Suns*,2.1,3.05,1982,99.5
Portland Trail Blazers,1.7,0.39,1982,100.5
San Antonio Spurs*,3.1,1.79,1982,102.5
San Diego Clippers,4.1,-7.05,1982,101.4
Seattle SuperSonics*,1.9,3.69,1982,100.0
Utah Jazz,1.2,-5.63,1982,103.9
Washington Bullets*,2.9,1.06,1982,99.4
Atlanta Hawks*,2.3,-0.72,1983,98.9
Boston Celtics*,2.3,5.34,1983,104.0
Chicago Bulls,2.5,-4.41,1983,106.1
Cleveland Cavaliers,1.5,-6.78,1983,97.6
Dallas Mavericks,2.3,-0.7,1983,102.8
Denver Nuggets*,1.5,0.27,1983,112.1
Detroit Pistons,3.3,-0.17,1983,105.8
Golden State Warriors,1.8,-3.48,1983,104.0
Houston Rockets,3.3,-11.12,1983,102.2
Indiana Pacers,2.9,-5.36,1983,103.9
Kansas City Kings,2.6,1.04,1983,106.6
Los Angeles Lakers*,1.2,5.06,1983,103.8
Milwaukee Bucks*,2.1,4.32,1983,100.0
New Jersey Nets*,1.8,2.77,1983,104.0
New York Knicks*,1.6,2.58,1983,97.0
Philadelphia 76ers*,1.3,7.53,1983,102.7
Phoenix Suns*,1.9,4.61,1983,101.6
Portland Trail Blazers*,1.8,1.88,1983,101.0
San Antonio Spurs*,3.8,3.1,1983,103.3
San Diego Clippers,3.2,-4.61,1983,103.0
Seattle SuperSonics*,1.7,2.88,1983,103.2
Utah Jazz,2.2,-4.22,1983,107.3
Washington Bullets,2.9,0.2,1983,99.4
Atlanta Hawks*,1.3,-1.08,1984,95.3
Boston Celtics*,2.8,6.42,1984,99.7
Chicago Bulls,1.4,-4.69,1984,99.8
Cleveland Cavaliers,2.0,-3.71,1984,97.4
Dallas Mavericks*,2.2,0.15,1984,99.0
Denver Nuggets*,3.1,-1.27,1984,110.5
Detroit Pistons*,1.7,3.52,1984,103.8
Golden State Warriors,2.8,-3.35,1984,103.3
Houston Rockets,1.9,-3.12,1984,104.7
Indiana Pacers,2.5,-4.25,1984,102.1
Kansas City Kings*,2.3,-1.62,1984,102.9
Los Angeles Lakers*,2.8,3.32,1984,103.7
Milwaukee Bucks*,2.8,4.04,1984,96.9
New Jersey Nets*,2.8,1.27,1984,103.0
New York Knicks*,2.0,3.79,1984,99.0
Philadelphia 76ers*,1.3,2.39,1984,99.6
Phoenix Suns*,3.5,0.65,1984,101.4
Portland Trail Blazers*,1.6,3.13,1984,101.1
San Antonio Spurs,3.2,-0.5,1984,106.5
San Diego Clippers,1.6,-3.21,1984,101.1
Seattle SuperSonics*,1.7,-0.34,1984,99.7
Utah Jazz*,3.9,0.81,1984,104.9
Washington Bullets*,3.4,-2.36,1984,97.4
Atlanta Hawks,2.9,-1.14,1985,99.8
Boston Celtics*,3.8,6.47,1985,101.6
Chicago Bulls*,2.0,-0.5,1985,99.4
Cleveland Cavaliers*,4.1,-2.27,1985,101.9
Dallas Mavericks*,5.4,1.8,1985,98.8
Denver Nuggets*,2.9,2.05,1985,107.6
Detroit Pistons*,2.4,2.73,1985,105.0
Golden State Warriors,4.8,-7.21,1985,103.2
Houston Rockets*,2.3,1.38,1985,102.2
Indiana Pacers,1.9,-5.46,1985,105.1
Kansas City Kings,2.9,-2.71,1985,104.4
Los Angeles Clippers,2.3,-4.55,1985,101.0
Los Angeles Lakers*,3.6,6.48,1985,103.2
Milwaukee Bucks*,3.6,6.69,1985,99.7
New Jersey Nets*,2.7,0.64,1985,101.1
New York Knicks,2.4,-4.09,1985,99.5
Philadelphia 76ers*,2.7,4.17,1985,100.8
Phoenix Suns*,3.7,-2.34,1985,102.5
Portland Trail Blazers*,2.5,2.8,1985,103.6
San Antonio Spurs*,2.5,0.63,1985,103.9
Seattle SuperSonics,2.3,-5.44,1985,99.3
Utah Jazz*,3.7,-0.33,1985,105.1
Washington Bullets*,4.9,0.15,1985,100.3
Atlanta Hawks*,2.0,2.59,1986,100.0
Boston Celtics*,4.8,9.06,1986,101.2
Chicago Bulls*,3.9,-3.12,1986,99.7
Cleveland Cavaliers,4.8,-2.19,1986,101.6
Dallas Mavericks*,5.4,0.7,1986,102.2
Denver Nuggets*,3.7,0.89,1986,106.7
Detroit Pistons*,2.2,1.44,1986,104.2
Golden State Warriors,3.4,-3.59,1986,104.2
Houston Rockets*,3.8,2.1,1986,103.5
Indiana Pacers,1.7,-2.66,1986,100.9
Los Angeles Clippers,2.8,-6.83,1986,102.7
Los Angeles Lakers*,5.0,6.84,1986,102.7
Milwaukee Bucks*,4.7,8.69,1986,102.1
New Jersey Nets*,2.6,-1.39,1986,103.3
New York Knicks,2.9,-4.82,1986,98.6
Philadelphia 76ers*,2.7,2.46,1986,100.5
Phoenix Suns,2.2,-3.16,1986,104.8
Portland Trail Blazers*,3.4,0.61,1986,104.5
Sacramento Kings*,1.6,-3.19,1986,102.0
San Antonio Spurs*,2.4,-2.06,1986,103.8
Seattle SuperSonics,3.7,-0.47,1986,97.4
Utah Jazz*,2.1,-0.67,1986,103.3
Washington Bullets*,5.0,-1.28,1986,99.1
Atlanta Hawks*,5.2,7.18,1987,97.4
Boston Celtics*,6.9,6.57,1987,98.6
Chicago Bulls*,3.6,1.26,1987,95.8
Cleveland Cavaliers,4.1,-3.19,1987,101.3
Dallas Mavericks*,8.0,5.54,1987,100.5
Denver Nuggets*,4.8,-1.14,1987,106.2
Detroit Pistons*,2.1,3.51,1987,101.0
Golden State Warriors*,4.4,-2.54,1987,101.7
Houston Rockets*,4.0,0.6,1987,99.9
Indiana Pacers*,3.9,-0.17,1987,98.8
Los Angeles Clippers,4.2,-11.0,1987,102.7
Los Angeles Lakers*,5.5,8.32,1987,101.6
Milwaukee Bucks*,7.0,4.04,1987,100.3
New Jersey Nets,5.5,-4.42,1987,101.8
New York Knicks,4.6,-5.42,1987,98.5
Philadelphia 76ers*,4.1,0.11,1987,97.3
Phoenix Suns,3.1,-2.63,1987,102.0
Portland Trail Blazers*,4.1,2.57,1987,105.0
Sacramento Kings,3.7,-3.34,1987,101.3
San Antonio Spurs,4.9,-5.09,1987,101.7
Seattle SuperSonics*,7.0,0.08,1987,101.8
Utah Jazz*,5.5,0.04,1987,103.2
Washington Bullets*,2.7,-1.02,1987,100.2
Atlanta Hawks*,3.4,4.02,1988,96.4
Boston Celtics*,8.6,6.15,1988,97.9
Chicago Bulls*,3.0,3.76,1988,95.5
Cleveland Cavaliers*,4.1,1.28,1988,97.3
Dallas Mavericks*,6.4,3.59,1988,97.0
Denver Nuggets*,6.9,3.32,1988,105.5
Detroit Pistons*,2.5,5.46,1988,98.3
Golden State Warriors,3.8,-8.38,1988,101.6
Houston Rockets*,3.5,0.82,1988,101.8
Indiana Pacers,5.9,-0.18,1988,98.0
Los Angeles Clippers,3.9,-10.24,1988,100.8
Los Angeles Lakers*,5.8,4.81,1988,99.1
Milwaukee Bucks*,5.0,1.21,1988,97.6
New Jersey Nets,5.5,-6.98,1988,98.6
New York Knicks*,6.9,0.14,1988,99.1
Philadelphia 76ers,5.7,-0.79,1988,96.0
Phoenix Suns,4.4,-4.8,1988,101.2
Portland Trail Blazers*,4.6,3.59,1988,103.6
Sacramento Kings,5.5,-5.84,1988,100.9
San Antonio Spurs*,5.0,-5.02,1988,104.4
Seattle SuperSonics*,7.8,1.29,1988,100.2
